X (ms);C0:2169[0];C1:2521[0];C2:70[0];C3:80[0]
19,687500;187,686646;130347,000000;518,000000;10271,795898
19,875000;189,519409;130347,000000;518,099976;10018,116211
20,062500;191,681992;130347,000000;520,700012;10241,733398
20,250000;193,824844;130347,000000;518,050049;10790,400391
20,437500;196,030975;130347,000000;517,599976;11490,452148
20,625000;198,192566;130347,000000;517,800049;11233,931641
20,812500;200,320480;133728,000000;518,300049;11178,115234
21,000000;202,600693;133728,000000;516,400024;11451,560547
21,187500;204,864929;133728,000000;518,800049;12091,246094
21,375000;207,221176;133728,000000;513,000000;12560,000977
21,562500;209,685760;133728,000000;509,250000;12789,637695
21,750000;212,225677;137321,000000;506,799988;12839,334961
21,937500;214,380356;137321,000000;502,450012;12885,735352
22,125000;217,165359;137321,000000;499,350006;13091,337891
22,312500;219,959427;137321,000000;496,549988;13201,600586
22,500000;222,443527;137321,000000;494,200012;13494,119141
22,687500;224,963654;141154,000000;490,049988;13202,817383
22,875000;227,781830;141154,000000;487,650024;13485,243164
23,062500;230,829132;141154,000000;489,700012;13554,774414
23,250000;233,407043;141154,000000;491,899994;13332,592773
23,437500;236,312805;141154,000000;489,750000;13388,796875
23,625000;239,087112;141154,000000;489,550018;13457,174805
23,812500;241,933655;145249,000000;489,549988;13431,078125
24,000000;244,742767;145249,000000;489,299988;13255,798828
24,187500;247,835663;145249,000000;488,899994;13588,796875
24,375000;250,699997;145249,000000;490,100006;13328,670898
24,562500;253,454651;145249,000000;485,950012;13453,205078
24,750000;256,165192;149599,000000;483,450012;13497,969727
24,937500;259,375824;149599,000000;485,100006;13483,115234
25,125000;262,278137;149599,000000;481,450012;13430,609375
25,312500;264,792908;149599,000000;479,050018;13378,950195
25,500000;267,945648;149599,000000;476,700012;13374,393555
25,687500;270,787476;154210,000000;474,850006;13297,146484
25,875000;273,676453;154210,000000;472,100006;13596,947266
26,062500;276,647125;154210,000000;475,750000;13156,785156
26,250000;279,530426;154210,000000;472,600006;13368,313477
26,437500;282,337982;154210,000000;470,950012;13637,558594
26,625000;285,237274;154210,000000;472,000000;13256,382813
26,812500;288,186035;159074,000000;474,100006;13669,831055
27,000000;291,117432;159074,000000;475,200012;13481,529297
27,187500;293,888824;159074,000000;476,200012;13340,581055
27,375000;296,828003;159074,000000;473,950012;13407,322266
27,562500;299,774628;159074,000000;477,150024;13551,205078
27,750000;302,536560;164201,000000;476,500000;13372,130859
27,937500;305,592285;164201,000000;474,400024;13409,613281
28,125000;308,467133;164201,000000;479,049988;13569,713867
28,312500;311,228424;164201,000000;477,200012;13179,427734
28,500000;314,222046;164201,000000;469,799988;13421,273438
28,687500;317,306183;169581,000000;474,200012;13387,101563
28,875000;320,020966;169581,000000;466,950012;13282,849609
29,062500;322,951660;169581,000000;466,500000;13261,403320
29,250000;325,966827;169581,000000;463,200012;13288,964844
29,437500;328,607574;169581,000000;467,250000;13489,387695
29,625000;331,772552;169581,000000;462,400024;13125,369141
29,812500;334,504089;175224,000000;464,700012;13562,645508
30,000000;337,344330;175224,000000;466,049988;13409,790039
30,187500;340,418518;175224,000000;466,000000;13313,863281
30,375000;342,920502;175224,000000;464,000000;13487,044922
30,562500;346,264771;175224,000000;467,600006;13214,039063
30,750000;349,059723;181122,000000;468,200012;13353,136719
30,937500;351,745087;181122,000000;468,450012;13200,769531
31,125000;354,873016;181122,000000;467,350006;13264,310547
31,312500;357,448669;181122,000000;468,049988;13303,889648
31,500000;360,477234;181122,000000;465,900024;13226,039063
31,687500;363,288269;187272,000000;467,549988;13463,409180
31,875000;366,279877;187272,000000;465,100006;13368,849609
32,062500;369,162109;187272,000000;463,850006;13312,553711
32,250000;372,000580;187272,000000;460,600006;13399,021484
32,437500;374,635559;187272,000000;462,049988;13559,892578
32,625000;377,869019;187272,000000;459,100006;13120,430664
32,812500;380,431274;193679,000000;456,600006;13450,167969
33,000000;383,521423;193679,000000;457,049988;13669,936523
33,187500;386,231934;193679,000000;455,850006;12972,113281
33,375000;389,119171;193679,000000;459,750000;13556,182617
33,562500;392,150085;193679,000000;458,400024;13443,836914
33,750000;394,866852;200341,000000;460,250000;13066,512695
33,937500;397,964783;200341,000000;461,200012;13645,400391
34,125000;400,534973;200341,000000;464,850006;13157,493164
34,312500;403,729675;200341,000000;464,450012;13283,412109
34,500000;406,276306;200341,000000;461,400024;13595,581055
34,687500;409,363190;207258,000000;459,650024;13213,137695
34,875000;411,831451;207258,000000;457,350006;13445,133789
35,062500;415,089752;207258,000000;458,799988;13262,881836
35,250000;417,757263;207258,000000;458,049988;13328,868164
35,437500;420,892090;207258,000000;456,450012;13211,598633
35,625000;423,563904;207258,000000;455,200012;13157,631836
35,812500;426,484558;214430,000000;455,950012;13300,638672
36,000000;429,283997;214430,000000;452,700012;13480,876953
36,187500;432,067261;214430,000000;454,200012;13025,379883
36,375000;434,933563;214430,000000;451,200012;13604,050781
36,562500;437,717529;214430,000000;454,200012;13329,823242
36,750000;440,536163;221851,000000;454,000000;12948,596680
36,937500;443,229858;221851,000000;454,000000;13221,092773
37,125000;446,201782;221851,000000;457,500000;11625,493164
37,312500;448,833344;221851,000000;463,500000;8876,023438
37,500000;451,485352;221851,000000;469,299988;8469,426758
37,687500;453,914124;229514,000000;472,049988;7606,831543
37,875000;456,208832;229514,000000;476,100006;6393,453613
38,062500;458,171722;229514,000000;479,149994;6733,035156
38,250000;460,225861;229514,000000;482,799988;6104,315918
38,437500;462,145691;229514,000000;485,150024;5422,131348
38,625000;463,675140;229514,000000;489,200012;5930,814941
38,812500;465,406372;237327,000000;488,350006;5887,232422
39,000000;467,005249;237327,000000;487,100006;5879,078125
39,187500;468,218048;237327,000000;493,700012;6015,702148
39,375000;469,850098;237327,000000;491,500000;5495,584473
39,562500;471,047089;237327,000000;496,350006;5510,222168
39,750000;472,559357;245251,000000;499,150024;5695,467285
39,937500;473,798492;245251,000000;500,600006;5719,305664
40,125000;475,032227;245251,000000;505,150024;5736,923340
40,312500;476,456146;245251,000000;510,850037;5341,937988
40,500000;477,485535;245251,000000;509,550018;5492,684570
40,687500;478,707703;253280,000000;513,900024;5478,245117
40,875000;479,862305;253280,000000;516,450012;5409,233887
41,062500;481,242035;253280,000000;518,300049;5426,346191
41,250000;482,076233;253280,000000;519,800049;5173,643555
41,437500;483,292511;253280,000000;524,900024;4764,102539
41,625000;484,578674;253280,000000;520,700012;4817,180176
41,812500;485,069672;261396,000000;520,150024;5225,435547
42,000000;486,717163;261396,000000;519,849976;4715,429199
42,187500;487,387634;261396,000000;519,599976;4496,845703
42,375000;488,403870;261396,000000;520,000000;4549,076172
42,562500;489,359039;261396,000000;521,600037;3912,394043
42,750000;490,312622;269596,000000;521,650024;4182,031738
42,937500;491,058594;269596,000000;523,050049;4281,014648
43,125000;492,229340;269596,000000;524,799988;3628,770020
43,312500;492,674164;269596,000000;526,850037;3403,816162
43,500000;493,924652;269596,000000;531,550049;3042,638672
43,687500;494,389679;277870,000000;533,650024;2854,585938
43,875000;495,482086;277870,000000;536,650024;2932,771729
44,062500;495,775726;277870,000000;535,400024;2399,874512
44,250000;496,707275;277870,000000;535,600037;2023,254761
44,437500;496,892853;277870,000000;537,150024;1746,194336
44,625000;497,784515;277870,000000;543,050049;1395,421021
44,812500;497,951385;286190,000000;541,550049;1523,755493
45,000000;498,600647;286190,000000;541,050049;1360,206421
45,187500;498,877899;286190,000000;540,250000;692,865723
45,375000;499,240540;286190,000000;539,500000;488,262848
45,562500;499,398529;286190,000000;539,849976;321,430511
45,750000;499,705139;294532,000000;540,400024;222,859467
45,937500;499,724976;294532,000000;541,350037;90,903923
46,125000;499,936798;294532,000000;540,750000;-800,228638
46,312500;499,860779;294532,000000;542,849976;-2201,820801
46,500000;499,703796;294532,000000;545,550049;-3309,931152
46,687500;499,569336;302864,000000;550,099976;-3350,452148
46,875000;499,112610;302864,000000;553,550049;-3339,027344
47,062500;498,841156;302864,000000;551,400024;-3661,331787
47,250000;498,219391;302864,000000;552,599976;-3593,183838
47,437500;497,649994;302864,000000;557,700012;-3580,551758
47,625000;496,882599;302864,000000;558,400024;-3689,222900
47,812500;496,315155;311133,000000;559,950012;-3578,030029
48,000000;495,401337;311133,000000;557,849976;-3458,615479
48,187500;494,680603;311133,000000;558,800049;-3667,616211
48,375000;493,933533;311133,000000;560,550049;-3709,862305
48,562500;492,992767;311133,000000;561,000000;-3647,020508
48,750000;492,291229;319318,000000;559,650024;-3873,920166
48,937500;491,402771;319318,000000;560,250000;-3906,629883
49,125000;490,495361;319318,000000;563,000000;-3670,826172
49,312500;489,691650;319318,000000;569,000000;-3633,176758
49,500000;488,542145;319318,000000;563,750000;-3693,538574
49,687500;487,853058;327419,000000;562,099976;-3497,475830
49,875000;486,673401;327419,000000;567,400024;-3580,085449
50,062500;486,020508;327419,000000;567,750000;-3788,980225
50,250000;484,990082;327419,000000;567,099976;-3694,072021
50,437500;484,375702;327419,000000;573,799988;-3466,667725
50,625000;483,103699;327419,000000;572,150024;-3404,701660
50,812500;482,448181;335438,000000;571,450012;-3554,186523
51,000000;481,542847;335438,000000;572,250000;-3295,156250
51,187500;480,536255;335438,000000;570,250000;-3381,332275
51,375000;479,718414;335438,000000;574,650024;-3465,017578
51,562500;478,865295;335438,000000;573,400024;-3344,650879
51,750000;477,977112;343380,000000;574,900024;-3651,360840
51,937500;477,249817;343380,000000;576,250000;-3600,148193
52,125000;476,059082;343380,000000;575,900024;-3494,974365
52,312500;475,484619;343380,000000;575,000000;-3576,526123
52,500000;474,229919;343380,000000;574,599976;-3487,183838
52,687500;473,626770;351241,000000;578,200012;-3506,385010
52,875000;472,592041;351241,000000;576,650024;-3516,800049
53,062500;471,944885;351241,000000;577,450012;-3529,732666
53,250000;470,952362;351241,000000;581,200012;-3533,231689
53,437500;470,069794;351241,000000;578,550049;-3692,588867
53,625000;469,222351;351241,000000;581,000000;-3674,651367
53,812500;468,251831;359029,000000;579,050049;-3611,251953
54,000000;467,504364;359029,000000;580,800049;-3769,207031
54,187500;466,392914;359029,000000;584,500000;-3726,433350
54,375000;465,725464;359029,000000;580,500000;-3721,329102
54,562500;464,573395;359029,000000;581,500000;-3651,796875
54,750000;463,817291;366733,000000;581,150024;-3657,275146
54,937500;462,869812;366733,000000;581,550049;-3681,148438
